,session_id,trial_num,category,submit_time,submit_date,num_strokes,draw_duration,trial_duration,mean_intensity,bounding_box,filename,condition,CB,subID,image_name
0,Praisedraw_pilot_3_1562961640982,0,none,1.56E+12,2019-07-12T20:08:34.630Z,1,2.005,100.612,0.007533482,"(73, 202, 121, 126)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tryit,1,PD_190712_01,
1,Praisedraw_pilot_3_1562961640982,1,this square,1.56E+12,2019-07-12T20:08:46.175Z,1,4.438,11.542,0.021803253,"(61, 168, 64, 163)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tracing/tracing_this square_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tracing,1,PD_190712_01,
2,Praisedraw_pilot_3_1562961640982,2,this shape,1.56E+12,2019-07-12T20:09:02.397Z,1,9.374,16.219,0.039441167,"(6, 204, 30, 153)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tracing/tracing_this shape_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tracing,1,PD_190712_01,
3,Praisedraw_pilot_3_1562961640982,3,none,1.56E+12,2019-07-12T20:09:21.407Z,26,27.77,19.007,0.03130979,"(0, 162, 22, 181)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tryit,1,PD_190712_01,
4,Praisedraw_pilot_3_1562961640982,3,none,1.56E+12,2019-07-12T20:09:28.852Z,26,27.77,26.452,0.030811543,"(0, 177, 33, 187)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tryit,1,PD_190712_01,
5,Praisedraw_pilot_3_1562961640982,3,none,1.56E+12,2019-07-12T20:09:37.608Z,26,27.77,35.208,0.034658004,"(21, 214, 16, 178)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tryit,1,PD_190712_01,
6,Praisedraw_pilot_3_1562961640982,3,none,1.56E+12,2019-07-12T20:09:45.670Z,26,27.77,43.27,0.032326212,"(24, 202, 12, 181)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,tryit,1,PD_190712_01,
7,Praisedraw_pilot_3_1562961640982,12,none,1.56E+12,2019-07-12T20:14:03.820Z,14,40.384,36.34,0.081114477,"(0, 216, 28, 208)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/selective/selective_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,selective,1,PD_190712_01,
8,Praisedraw_pilot_3_1562961640982,12,none,1.56E+12,2019-07-12T20:14:16.581Z,14,40.384,49.101,0.062579719,"(27, 223, 45, 199)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/selective/selective_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,selective,1,PD_190712_01,
9,Praisedraw_pilot_3_1562961640982,12,none,1.56E+12,2019-07-12T20:14:34.315Z,14,40.384,66.835,0.084303253,"(7, 223, 30, 207)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/selective/selective_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,selective,1,PD_190712_01,
10,Praisedraw_pilot_3_1562961640982,16,none,1.56E+12,2019-07-12T20:15:38.811Z,3,7.931,34.82,0.071707589,"(10, 223, 45, 220)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/overpraise/overpraise_none_sketch_Praisedraw_pilot_3_1562961640982_PD_190712_01.png,overpraise,1,PD_190712_01,
11,Praisedraw_pilot_3_1562962616151,0,none,1.56E+12,2019-07-12T20:43:20.669Z,1,1.311,75.471,0.007294324,"(73, 199, 99, 108)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_3_1562962616151_PD_190712_02.png,tryit,5,PD_190712_02,
12,Praisedraw_pilot_3_1562962616151,1,this square,1.56E+12,2019-07-12T20:43:38.630Z,1,10.574,17.96,0.021145568,"(55, 166, 61, 165)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_3_sketches_7_17_2019/tracing/tracing_this square_sketch_Praisedraw_pilot_3_1562962616151_PD_190712_02.png,tracing,5,PD_190712_02,
